"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5833,0,0.0,2.799074232813297,1.0,74.0,3.0,4.0,8.0,343.54202249838033,105.00845023632134,65.75609024383061
1,"cold",5833,0,0.0,4.4925424309960675,1.0,9693.0,4.0,4.0,7.0,216.3254709983682,66.12292228758716,41.406047183281416
1,"warm",5833,0,0.0,2.668609634836273,1.0,65.0,3.0,4.0,7.0,359.70646275283667,109.949338712537,68.85006513628515
1,"cold",5833,0,0.0,3.6012343562489417,1.0,4904.0,3.0,4.0,8.0,269.80896433692584,82.47090413814237,51.643122080114715
1,"warm",5833,0,0.0,2.7433567632436047,1.0,389.0,3.0,4.0,7.0,351.703346397347,107.50307365465781,67.3182186463672
1,"cold",5833,0,0.0,3.9554260243442627,2.0,4894.0,4.0,5.0,8.0,245.87952619820427,75.1565348633183,47.06287806137504
2,"warm",5833,0,0.0,2.737356420366876,1.0,70.0,3.0,4.0,9.0,349.9730005399892,106.97416911036778,66.98701963460731
2,"cold",5833,0,0.0,4.387279273101312,1.0,9850.0,3.0,4.0,8.0,222.78664731494922,68.0978716890421,42.642756712627
2,"warm",5833,0,0.0,2.5489456540373703,1.0,65.0,3.0,4.0,6.0,377.66267400453216,115.43790719083846,72.28699619618
2,"cold",5833,0,0.0,4.30447454140237,2.0,9650.0,3.0,4.0,7.0,227.04449028842785,69.39934126980266,43.4577344692694
2,"warm",5833,0,0.0,2.588547917023826,2.0,70.0,3.0,4.0,7.0,372.35876157037984,113.81669176907118,71.27179420683052
2,"cold",5833,1,0.017143836,7.686439225098577,1.0,24669.0,3.0,4.0,8.0,128.30778029519806,39.21596258331317,24.55891107212776
3,"warm",5833,0,0.0,2.9717126692953895,1.0,1867.0,3.0,4.0,8.0,324.5423691092194,99.20093899529851,62.11943783731153
3,"cold",5833,0,0.0,4.384364820846923,1.0,9652.0,3.0,4.0,8.0,222.6505840140469,68.05628202773113,42.61671334643866
3,"warm",5833,0,0.0,2.7154123092748153,1.0,69.0,3.0,4.0,6.6599999999998545,354.20208889968427,108.26684943906363,67.79649357845518
3,"cold",5833,0,0.0,3.482941882393281,1.0,4826.0,3.0,4.0,7.0,275.83108715184187,84.31165066262355,52.795794025157235
3,"warm",5833,0,0.0,2.6692953883079023,1.0,83.0,3.0,4.0,8.0,360.7297464440322,110.26211976267778,69.04592803030302
3,"cold",5833,0,0.0,4.818103891650956,2.0,9873.0,3.0,4.0,8.0,203.10595772833315,62.082192157195585,38.875749721438766
4,"warm",5833,0,0.0,2.8362763586490733,2.0,72.0,3.0,4.0,8.0,339.4041661817759,103.74365626454673,64.96407868323054
4,"cold",5833,0,0.0,4.358991942396716,1.0,9645.0,3.0,4.0,7.0,223.01663161919328,68.16816962578856,42.68677714586121
4,"warm",5833,0,0.0,2.633121892679583,1.0,70.0,3.0,4.0,8.0,364.28928303772176,111.35014217852236,69.72724558143892
4,"cold",5833,0,0.0,5.351105777472977,2.0,9633.0,4.0,5.0,9.0,183.0247882020709,55.94410030004706,35.03208836680263
4,"warm",5833,0,0.0,2.966569518258186,1.0,70.0,4.0,4.0,10.0,323.98355920906465,99.03013089105198,62.01247812986003
4,"cold",5833,0,0.0,4.350420024001372,1.0,9766.0,3.0,4.0,7.0,224.4756590340581,68.61414187271502,42.966044111987685
5,"warm",5833,0,0.0,2.633293331047487,1.0,70.0,3.0,4.0,7.0,365.06446363750155,111.58708702982226,69.87561999311554
5,"cold",5833,0,0.0,4.507800445739765,1.0,9731.0,3.0,4.0,8.0,215.86115017393234,65.98099609808675,41.31717327547924
5,"warm",5833,0,0.0,2.6816389507971827,1.0,68.0,3.0,4.0,7.0,358.11640471512766,109.46331511312009,68.54571809000491
5,"cold",5833,0,0.0,4.610663466483784,1.0,9727.0,4.0,4.0,8.0,211.68571947015062,64.70471698648159,40.51796974233351
5,"warm",5833,0,0.0,2.597291273787079,1.0,73.0,3.0,4.0,7.0,371.03237707524966,113.41126369585268,71.0179159245595
5,"cold",5833,0,0.0,6.392250985770595,2.0,9857.0,4.0,4.0,9.0,153.78733950275515,47.007262953478865,29.435857951699226
6,"warm",5833,0,0.0,2.6519801131493193,1.0,122.0,3.0,4.0,6.0,362.32064103360455,110.74839906593577,69.35043519783838
6,"cold",5833,0,0.0,4.492028115892346,2.0,9581.0,3.0,4.0,8.0,216.57446255522964,66.19903005838563,41.45370572346192
6,"warm",5833,0,0.0,2.718326761529231,1.0,75.0,3.0,4.0,8.0,353.0016945049625,107.89993201177076,67.56673058884047
6,"cold",5833,0,0.0,4.47145551174353,1.0,9631.0,4.0,4.0,10.0,218.72656367181642,66.85685002859232,41.86563132780861
6,"warm",5833,0,0.0,2.7608434767701047,1.0,69.0,3.0,4.0,8.0,346.0694156036784,105.78098348042124,66.23984908039158
6,"cold",5833,0,0.0,4.3913937939310745,1.0,9547.0,3.0,4.0,7.0,222.8802873409499,68.12649407980207,42.660679998853695
